timestamp,x,y,z
1766059920.924766,-4094.992627,12.623745,-213.177679
1766059920.944766,-4099.078134,21.069362,-210.724639
1766059920.964766,-4102.743416,20.626038,-209.599933
1766059920.984766,-4106.222885,25.434132,-208.669552
1766059921.004766,-4109.170622,27.840355,-208.788489
1766059921.024765,-4112.402804,32.075501,-205.049324
1766059921.044765,-4115.376235,36.113262,-205.503673
1766059921.064765,-4118.083260,40.583674,-205.574423
1766059921.084765,-4120.732328,46.353304,-204.557361
1766059921.104765,-4123.025218,49.491527,-202.989295
1766059921.124765,-4125.374711,52.596932,-205.233509
1766059921.144766,-4127.808764,58.702028,-203.171354
1766059921.164766,-4130.368256,62.342202,-202.833173
1766059921.184766,-4132.760546,69.070372,-201.588245
1766059921.204766,-4135.536460,69.772623,-198.663159
1766059921.224766,-4137.829380,76.674707,-202.413773
1766059921.244766,-4140.618449,81.608717,-198.539190
1766059921.264766,-4142.863041,84.294277,-200.362191
1766059921.284765,-4145.397058,88.751488,-196.980055
1766059921.304765,-4147.659057,92.976163,-196.552776
1766059921.324765,-4150.075577,95.270250,-195.029127
1766059921.344765,-4152.335845,102.107571,-194.360918
1766059921.364765,-4154.845169,104.862868,-193.485828
1766059921.384765,-4157.450147,109.393101,-193.354627
1766059921.404766,-4160.403873,113.990358,-194.104699
1766059921.424766,-4163.780620,118.313125,-193.698645
1766059921.444766,-4167.391961,122.393367,-192.554000
1766059921.464766,-4170.752688,130.565725,-191.892120
1766059921.484766,-4173.969487,132.697883,-190.917217
1766059921.504766,-4176.711696,140.477306,-190.494599
1766059921.524765,-4179.400479,145.337554,-189.443168
1766059921.544765,-4181.977671,149.891138,-188.779888
1766059921.564765,-4184.664234,153.731368,-187.553267
1766059921.584765,-4186.998195,156.096627,-188.016486
1766059921.604765,-4189.258475,164.812348,-187.539719
1766059921.624765,-4191.677068,166.829011,-185.946562
1766059921.644766,-4193.840858,171.625367,-185.919743
1766059921.664766,-4196.071319,175.637908,-187.472594
1766059921.684766,-4198.604255,182.625129,-183.727108
1766059921.704766,-4201.215569,184.551143,-182.341802
1766059921.724766,-4203.617961,189.905454,-183.280891
1766059921.744766,-4206.022898,195.650254,-183.950188
